Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Item Text, £ ,Postal Code
Department for Transport,Department for Transport,11/11/2025,Grt Aid to NDPBs,DG Public Transport and Local Group,Network Rail,2000021613,SR 9001297740," £534,722,000.00 ",SE1 8SW
Department for Transport,Department for Transport,28/11/2025,Grt Aid to NDPBs,DG Road Transport Group,National Highways Limited,2000023749,Grant in Aid NH for December 2025," £500,000,000.00 ",B1 1RN
Department for Transport,Department for Transport,28/11/2025,CurrGrtOth to NDPBs,DG Public Transport and Local Group,Network Rail,2000023649,#," £271,653,337.00 ",SE1 8SW
Department for Transport,High Speed Two (HS2) Limited,19/11/2025,AUC - Phase 1,AUC - 000000,BALFOUR BEATTY VINCI JV - HS2 (N2),#,MWCC BBV IPT Stage 2," £230,643,970.18 ",#
Department for Transport,High Speed Two (HS2) Limited,19/11/2025,AUC - Phase 1,AUC - 000000,EIFFAGE KIER FERROVIAL BAM JOINT VENTURE,#,C23 MWCC Stage 2 - EKFB IPT," £186,612,926.40 ",#
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,GOVIA THAMESLINK RAILWAY LIMITED,2000021376,2609 Wk1 GTR_NRC_PCP_Opex_(ICP) GOVIA THAMESLINK R," £152,431,125.08 ",EC3R 8AJ
Department for Transport,Department for Transport,11/11/2025,Cap Grt NDPBs & CG,DG Public Transport and Local Group,Network Rail,2000021613,SR 9001297740," £147,800,000.00 ",SE1 8SW
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,GREAT WESTERN RAILWAY,2000021368,2609 Wk1 GWR_NRC_ICP_OPEX_P2609 FIRST GREATER WEST," £126,306,158.78 ",SN1 1HL
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,NORTHERN TRAINS LIMITED,2000021388,2609 Wk1 NTL P2609 CBrp Cost Budget Payment Northe," £95,023,000.00 ",M1 2NF
Department for Transport,High Speed Two (HS2) Limited,19/11/2025,AUC - Phase 1,AUC - 000000,SKANSKA COSTAIN STRABAG S1 JOINT,#,MWCC S12 - Stage 2," £82,244,161.35 ",#
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,TRANSPORT UK EAST MIDLANDS LIMITED,2000021385,2609 Wk1 EMR_NRC_ICPCost_P2609 Transport UK East M," £47,397,925.21 ",EC4A 3AG
Department for Transport,National Highways,13/11/2025,PFI Service Payments,OPERATIONS DIRECTORATE,Connect Plus (M25) Limited,1053618,Operate Roads PFI Service Payments," £34,131,706.62 ",EN6 3NP
Department for Transport,Department for Transport,25/11/2025,Cap Grt Loc Auth,DG Public Transport and Local Group,LANCASHIRE COUNTY COUNCIL,2000023120,Levelling Up Fund Payment 22 for Round 2 Schemes," £27,711,574.15 ",PR1 0LD
Department for Transport,Active Travel England,26/11/2025,CapGrtPriSec-P&NPISH,National Cycling Network,SUSTRANS LTD,2000023383,NCN Tranche 9," £25,000,000.00 ",BS1 5DD
Department for Transport,National Highways,12/11/2025,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LIMITED,1053526,RIS 1 Schemes," £24,512,583.07 ",WD3 9SW
Department for Transport,Department for Transport,12/11/2025,Cap Research-CG,DG Road Transport Group,TECHNOLOGY STRATEGY BOARD,2000021864,ZEHID R&D 24-25 grant payment," £23,476,729.67 ",SN2 1JF
Department for Transport,Department for Transport,06/11/2025,TOCOpCosts(Pub),DG Rail Services Group,CHILTERN RAILWAYS,2000021367,2609 Wk1 CHT NRC PCPCost - Opex THE CHILTERN RAILW," £22,263,793.00 ",HP19 8EZ
