at,attempts,candidatesTokenCount,correct,document,false positive,incorrect,invoice_date,invoice_date_why,invoice_number,invoice_number_why,latency_ms,missing,model,party,party_why,promptTokenCount,review-required,sha256,source,tax,tax_why,thoughtsTokenCount,total,totalTokenCount,total_why
2026-08-16T10:28:44+00:00,,,5,synthetic-041,0,0,correct,nothing to find (ABSENT) and nothing returned,correct,read 'NIL/2025/1041',8252,0,gemini-3.6-flash,correct,read 'Nilgiri Tea Supply Co',,0,00e72c599c561c50,"saved answer, re-scored offline",correct,"read '8,414.40'",,correct,,"read '78,534.40'"
2026-08-16T10:28:44+00:00,,,5,real-voxel51-03,0,0,correct,read '01/17/2019',correct,read '26413291',53325,0,gemini-3.6-flash,correct,read 'Morales-Snyder',,0,03e65d2392202e93,"saved answer, re-scored offline",correct,"read '$ 7,14'",,correct,,"read '$ 78,58'"
2026-08-16T10:28:44+00:00,,,0,synthetic-039,0,0,review-required,model said UNREADABLE,review-required,model said UNREADABLE,15872,0,gemini-3.6-flash,review-required,model said UNREADABLE,,5,08ea11c0cbfe50b3,"saved answer, re-scored offline",review-required,model said UNREADABLE,,review-required,,model said UNREADABLE
2026-08-16T10:28:44+00:00,,,4,synthetic-030,0,0,correct,read '07-07-2026',correct,nothing to find (ABSENT) and nothing returned,10010,0,gemini-3.6-flash,correct,read 'Bose Stationery Mart',,1,0c9f62f3feeb42c1,"saved answer, re-scored offline",review-required,model said CONFLICTING,,correct,,"read '3,75,244.72'"
2026-08-16T10:28:44+00:00,,,5,synthetic-004,0,0,correct,read '19-01-2026',correct,read 'BOS/2026/1004',7564,0,gemini-3.6-flash,correct,read 'Bose Stationery Mart',,0,10ccfe889fb145e2,"saved answer, re-scored offline",correct,"read '1,129.80'",,correct,,"read '5,164.80'"
2026-08-16T12:07:42+00:00,1,199,5,synthetic-042,0,0,correct,nothing to find (ABSENT) and nothing returned,correct,read 'KON/2025/1042',5155,0,gemini-3.6-flash,correct,read 'Konkan Hardware Stores',1356,0,1411149297268927,called,correct,"read '4,497.30'",767,correct,2322,"read '41,974.80'"
2026-08-16T12:07:47+00:00,2,,0,synthetic-007,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,17500d32fc92c6c9,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T10:31:13+00:00,,,5,synthetic-016,0,0,correct,read '19-01-2023',correct,read 'NIL/2023/1016',21268,0,gemini-3.6-flash,correct,read 'Nilgiri Tea Supply Co',,0,1de4b906748d7902,called,correct,"read '45,052.20'",,correct,,"read '2,95,342.20'"
2026-08-16T12:07:54+00:00,2,,0,synthetic-011,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,2151d856c630593e,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T12:08:00+00:00,2,,0,synthetic-013,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,223ef07779cf7da0,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T10:35:35+00:00,,,5,synthetic-026,0,0,correct,read '15-04-2026',correct,read 'NIL/2026/1026',5865,0,gemini-3.6-flash,correct,read 'Nilgiri Tea Supply Co',,0,2280ece13c208b62,called,correct,nothing to find (ABSENT) and nothing returned,,correct,,"read '1,08,861.00'"
2026-08-16T10:35:41+00:00,,,5,real-voxel51-08,0,0,correct,read '07/03/2013',correct,read '22537855',102734,0,gemini-3.6-flash,correct,"read 'Barton, Garcia and Richards'",,0,25ba8e7ed0e66feb,called,correct,"read '959,91'",,correct,,"read '10 559,00'"
2026-08-16T12:08:06+00:00,1,203,3,synthetic-031,0,0,correct,read '06/02/2023',correct,read 'SUN/2023/1031',17987,1,gemini-3.6-flash,correct,read 'Sundaram Traders',1356,1,2b07407a86888848,called,missing,"expected {'paise': 2073636, 'text': '20,736.36'}, model returned nothing",3491,review-required,5050,model said CONFLICTING
2026-08-16T10:39:23+00:00,,,4,synthetic-033,1,0,correct,read '17/07/2023',correct,read 'RAO/2023/1033',6388,0,gemini-3.6-flash,correct,read 'Rao Cold Storage',,0,2b7b672bf5fe6b43,called,correct,"read '11,610.90'",,false positive,,"nothing to find (AMBIGUOUS) but model said '76,115.90'"
2026-08-16T10:39:30+00:00,,,4,synthetic-009,0,0,correct,read '21/10/2024',correct,read 'PAT/2024/1009',13777,1,gemini-3.6-flash,correct,read 'Patel Auto Spares',,0,33d8fc7a87154600,called,missing,"expected {'paise': 28700, 'text': '287.00'}, model returned nothing",,correct,,"read '6,027.00'"
2026-08-16T10:39:44+00:00,,,5,real-voxel51-06,0,0,correct,read '11/14/2015',correct,read '68743594',18799,0,gemini-3.6-flash,correct,read 'Vasquez-Brennan',,0,3d0da8d997ad3ea7,called,correct,"read '4,18'",,correct,,"read '45,95'"
2026-08-16T12:08:24+00:00,2,,0,synthetic-010,0,0,,call failed,,call failed,,0,gemini-3.6-flash,,call failed,,0,42cb0221251b38cc,CALL_FAILED:HTTPError,,call failed,,,,call failed
2026-08-16T10:40:14+00:00,,,5,real-voxel51-13,0,0,correct,read '08/23/2015',correct,read '89305462',11195,0,gemini-3.6-flash,correct,read 'Forbes LLC',,0,50871776100ae156,called,correct,"read '48,97'",,correct,,"read '538,67'"
2026-08-16T10:40:25+00:00,,,4,synthetic-020,0,0,correct,read '20-04-2023',correct,read 'NIL/2023/1020',29909,1,gemini-3.6-flash,correct,read 'Nilgiri Tea Supply Co',,0,50d6057e75e1beaf,called,missing,"expected {'paise': 4069980, 'text': '40,699.80'}, model returned nothing",,correct,,"read '2,66,809.80'"
2026-08-16T10:40:55+00:00,,,4,synthetic-014,0,0,correct,read '28-10-2023',correct,read 'PAT/2023/1014',15934,1,gemini-3.6-flash,correct,read 'Patel Auto Spares',,0,5583ad7a81e2744d,called,missing,"expected {'paise': 4299336, 'text': '42,993.36'}, model returned nothing",,correct,,"read '2,81,845.36'"
