at,attempts,document,elapsed_ms,exception,http_status,model,provider_code,provider_message,provider_status,retryable
2026-08-16T12:07:54+00:00,2,synthetic-007,6258,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:08:00+00:00,2,synthetic-011,6225,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:08:06+00:00,2,synthetic-013,5932,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:08:30+00:00,2,synthetic-010,6262,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:08:37+00:00,2,real-voxel51-01,6618,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:08:43+00:00,2,synthetic-012,6264,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:08:52+00:00,2,real-commons-01,8552,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:08:58+00:00,2,synthetic-045,6288,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:04+00:00,2,synthetic-006,6191,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:11+00:00,2,real-voxel51-11,6799,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:18+00:00,2,synthetic-038,7170,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:24+00:00,2,synthetic-017,6134,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:30+00:00,2,synthetic-028,6028,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:36+00:00,2,synthetic-021,5892,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:43+00:00,2,real-voxel51-05,6470,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:49+00:00,2,real-voxel51-09,6468,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:09:55+00:00,2,synthetic-023,5655,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:10:01+00:00,2,synthetic-008,6003,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:10:07+00:00,2,synthetic-003,6243,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
2026-08-16T12:10:14+00:00,2,synthetic-036,7025,HTTPError,429,gemini-3.6-flash,429,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usa",RESOURCE_EXHAUSTED,True
