failure_id,test_name,fixture,document_type,expected_status,actual_status,blocking_guard,reason_code,classification,evidence,required_code_change,required_test_change,safety_impact,final_disposition
F-001,tests/test_action_log.py::test_a_posted_entry_records_its_outcome_and_its_reason,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-002,tests/test_action_log.py::test_the_log_survives_a_restart,unknown,UNKNOWN,VALID,n/a (never reached),page asserts on a post that never happened,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: assert 'not_valid' == 'valid',none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-003,tests/test_adapter_contract.py::test_a_connector_refusal_cannot_happen_after_the_application_said_valid,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-004,tests/test_adapter_contract.py::test_only_a_believed_backend_moves_the_trial_balance,unknown,UNKNOWN,VALID,n/a (never reached),asserts on books/pages a post would have produced,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: assert {} == {'Purchases':...ash': -420000},none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-005,tests/test_adapter_contract.py::test_only_a_believed_backend_posts_and_the_other_writes_nothing[stub_backend],unknown,UNKNOWN,VALID,n/a (never reached),counts a voucher/row that a block prevented,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: assert None is not None,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-006,tests/test_adapter_contract.py::test_the_core_takes_only_the_contract_from_the_extraction_package,unknown,UNKNOWN,VALID,n/a (never reached),architecture allow-list,PRE_EXISTING,UNRELATED_PRE_EXISTING,"AssertionError: a module outside accountant/extract/ depends on something other than the contract ['ExtractedRecord', 'Extractor', 'LineItem', 'NOT_FO","separate change, unrelated to Problem 1",none,none,OUT OF SCOPE - pre-existing
F-007,tests/test_adapter_contract.py::test_two_backends_given_the_same_facts_either_post_or_ask_who_it_was[stub_backend],unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-008,tests/test_adversarial_amounts_and_states.py::test_a_bootstrap_that_failed_part_way_through_posts_nothing,unknown,UNKNOWN,VALID,NOT_VALID,period_open=None (was: +conservation INDETERMINATE +confidence<0.70),PERIOD_NEVER_CHECKED,STALE_TEST_EXPECTATION,"measured: 3 blocking reasons -> 1, and the survivor is true",none - document-type contract landed; 2 of 3 reasons removed,"fixture must supply a PeriodReader, or assert REVIEW_REQUIRED","NONE - narrows what the invoice cage CLAIMS to check; no threshold moved, no INDETERMINATE turned into PASS",OPEN - fixture predates the period check
F-009,tests/test_adversarial_amounts_and_states.py::test_a_disconnected_app_refuses_to_post_and_says_which_refusal_it_is,unknown,UNKNOWN,VALID,n/a (never reached),counts a voucher/row that a block prevented,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,assert 0 == 1,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
F-010,tests/test_adversarial_amounts_and_states.py::test_a_failed_read_back_is_never_recorded_as_a_posted_entry,unknown,UNKNOWN,VALID,n/a (never reached),page asserts on a post that never happened,BLOCKED_UPSTREAM,CASCADE_OF_THE_BLOCK,AssertionError: the Valid gate is not what stops this,none - resolves when the primary does,none,none,OPEN - Step 1 document-type contract
