document_id,page,field,truth_status,expected,verdict,evidence
real-commons-01,1,party,PRESENT,Alliance francaise de Pondichery,incorrectly unresolved,"expected 'Alliance francaise de Pondichery', read nothing"
real-commons-01,1,invoice_date,PRESENT,23-10-2014,incorrectly unresolved,"expected '23-10-2014', read nothing"
real-commons-01,1,total,PRESENT,"{'paise': 400000, 'text': '4,000.00', 'currency': 'INR'}",incorrectly unresolved,"expected {'paise': 400000, 'text': '4,000.00', 'currency': 'INR'}, read nothing"
real-commons-01,1,tax,ABSENT,,correctly unresolved,nothing to find (ABSENT) and nothing returned
real-commons-01,1,invoice_number,PRESENT,320/10/2014/OL/DC,incorrectly unresolved,"expected '320/10/2014/OL/DC', read nothing"
real-voxel51-01,1,party,PRESENT,"Andrews, Kirby and Valdez",incorrectly unresolved,"expected 'Andrews, Kirby and Valdez', read nothing"
real-voxel51-01,1,invoice_date,PRESENT,04/13/2013,incorrectly unresolved,"expected '04/13/2013', read nothing"
real-voxel51-01,1,total,PRESENT,"{'paise': 620419, 'text': '6 204,19', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 620419, 'text': '6 204,19', 'currency': 'USD'}, read nothing"
real-voxel51-01,1,tax,PRESENT,"{'paise': 56402, 'text': '564,02', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 56402, 'text': '564,02', 'currency': 'USD'}, read nothing"
real-voxel51-01,1,invoice_number,PRESENT,51109338,incorrectly unresolved,"expected '51109338', read nothing"
real-voxel51-02,1,party,PRESENT,Campos-Hawkins,incorrectly unresolved,"expected 'Campos-Hawkins', read nothing"
real-voxel51-02,1,invoice_date,PRESENT,01/08/2020,incorrectly unresolved,"expected '01/08/2020', read nothing"
real-voxel51-02,1,total,PRESENT,"{'paise': 98670, 'text': '986,70', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 98670, 'text': '986,70', 'currency': 'USD'}, read nothing"
real-voxel51-02,1,tax,PRESENT,"{'paise': 8970, 'text': '89,70', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 8970, 'text': '89,70', 'currency': 'USD'}, read nothing"
real-voxel51-02,1,invoice_number,PRESENT,26622011,incorrectly unresolved,"expected '26622011', read nothing"
real-voxel51-03,1,party,PRESENT,Morales-Snyder,incorrectly unresolved,"expected 'Morales-Snyder', read nothing"
real-voxel51-03,1,invoice_date,PRESENT,01/17/2019,incorrectly unresolved,"expected '01/17/2019', read nothing"
real-voxel51-03,1,total,PRESENT,"{'paise': 7858, 'text': '78,58', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 7858, 'text': '78,58', 'currency': 'USD'}, read nothing"
real-voxel51-03,1,tax,PRESENT,"{'paise': 714, 'text': '7,14', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 714, 'text': '7,14', 'currency': 'USD'}, read nothing"
real-voxel51-03,1,invoice_number,PRESENT,26413291,incorrectly unresolved,"expected '26413291', read nothing"
real-voxel51-04,1,party,PRESENT,"Mcpherson, Stark and Rodriguez",incorrectly unresolved,"expected 'Mcpherson, Stark and Rodriguez', read nothing"
real-voxel51-04,1,invoice_date,PRESENT,10/28/2019,incorrectly unresolved,"expected '10/28/2019', read nothing"
real-voxel51-04,1,total,PRESENT,"{'paise': 79210, 'text': '792,10', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 79210, 'text': '792,10', 'currency': 'USD'}, read nothing"
real-voxel51-04,1,tax,PRESENT,"{'paise': 7201, 'text': '72,01', 'currency': 'USD'}",incorrectly unresolved,"expected {'paise': 7201, 'text': '72,01', 'currency': 'USD'}, read nothing"
real-voxel51-04,1,invoice_number,PRESENT,35163496,incorrectly unresolved,"expected '35163496', read nothing"
real-voxel51-05,1,party,PRESENT,"Padilla, Webb and Pearson",incorrectly unresolved,"expected 'Padilla, Webb and Pearson', read nothing"
