Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,PO Catergory Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DE,DEFRA,10/11/2025,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,NIDDERDALE NATIONAL LANDSCAPE (HOSTED BY NORTH YORKSHIRE COUNCIL),1003286457,"£157,986.75",OTHER CURRENT GRANTS,DL7 8AL,LOCAL AUTHORITIES,C16845,DEA10054,Expense,259 1077 49
DE,DEFRA,18/11/2025,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,WILTSHIRE COUNCIL,1003287197,"£216,844.50",OTHER CURRENT GRANTS,BA14 8JJ,SUPPLIER,C16849,DEA10058,Expense,GB501624882
DE,DEFRA,14/11/2025,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,LANDSCAPES,CHICHESTER HARBOUR AONB,1003287044,"£129,806.00",OTHER CURRENT GRANTS,PO20 7AW,CUSTOMER,C16688,DEA10037,Expense,192711069
DE,DEFRA,18/11/2025,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,SUFFOLK COUNTY COUNCIL,1003287196,"£159,138.75",OTHER CURRENT GRANTS,IP1 2BX,SUPPLIER,C16878,DEA10064,Expense,GB 1041 78791
DE,DEFRA,13/11/2025,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,SURREY HILLS NATIONAL LANDSCAPE,1003286915,"£162,714.46",OTHER CURRENT GRANTS,KT13 0YP,LOCAL AUTHORITIES,C16892,DEA10065,Expense,GB216 9472 4
DE,DEFRA,10/11/2025,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,STAFFORDSHIRE COUNTY COUNCIL,1003286502,"£118,233.74",OTHER CURRENT GRANTS,ST16 2DH,CUSTOMER,C16686,DEA10036,Expense,280061977
DE,DEFRA,05/11/2025,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,CORNWALL COUNCIL,1003286132,"£162,012.75",OTHER CURRENT GRANTS,TR16 5EH,THIRD PARTY,C16700,DEA10039,Expense,132746770
DE,DEFRA,20/11/2025,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,FOREST OF BOWLAND NATIONAL LANDSCAPE PARTNERSHIP,1003287539,"£194,306.25",OTHER CURRENT GRANTS,PR1 8XJ,LOCAL AUTHORITIES,C16732,DEA10045,Expense,GB155712174
DE,DEFRA,14/11/2025,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,ENVIRONMENT SCIENCE AND ANALYSIS,WSP UK LTD,1003287013,"£47,883.00",CAPITAL R&D,M15 4RP,CIS SUPPLIER,C28867,DEA15183,Expense,GB 905 0549 42
DE,DEFRA,21/11/2025,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,SCIENCE FACILITIES - OPERATIONS  (WEYBRIDGE),ISS MEDICLEAN LTD,1003287610,"£39,837.13",ESTATE MANAGEMENT,KT13 0SL,CIS SUPPLIER,17577,DE008700,Expense,
