Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Payment Number,Transparency Invoice Amount
05/11/2025,FG CMPD FAS LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - DELIVERY PARTNER,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,1042131537,"£9,997,326.66"
06/11/2025,FG CMPD FAS LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - DELIVERY PARTNER,CAPITA BUSINESS SERVICES LTD,1042132538,"£9,724,455.00"
18/11/2025,CHG TARGETED CASE REVIEW RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,TELEPERFORMANCE LTD,1042139888,"£8,538,467.92"
27/11/2025,DIG STRATEGIC MODERN ANALYTICAL TOOLING,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SAS SOFTWARE LTD,1042147051,"£8,207,325.60"
04/11/2025,FG CMPD FAS LOT 4,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - DELIVERY PARTNER,INGEUS UK LTD,1042130934,"£7,876,292.87"
24/11/2025,DIG COMMON SERVICES RUN DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,1042143649,"£7,269,973.69"
13/11/2025,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,TELEPERFORMANCE LTD,1042136930,"£7,085,711.44"
03/11/2025,FG CMPD FAS LOT 3,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - DELIVERY PARTNER,SERCO LIMITED,1042130451,"£6,812,328.24"
17/11/2025,SE SPD BULK MAIL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,1042138927,"£6,416,988.31"
11/11/2025,CT ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,ISS MEDICLEAN LTD - 2WM,1042135526,"£5,162,977.76"
12/11/2025,DIG PRIMARY HYPERSCALE PUBLIC CLOUD PROVIDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,1042136210,"£2,394,500.39"
18/11/2025,CT ESTATES UTILITIES DELP,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,EDF ENERGY 1 LTD SCC UTILITIES ONLY,1042139813,"£1,895,028.83"
27/11/2025,OPS DD PIP SERCO,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S FACILITIES MANAGEMENT (UK) LTD,1042146760,"£1,881,916.88"
03/11/2025,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,1042130131,"£1,568,700.00"
03/11/2025,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,1042130167,"£1,566,162.00"
03/11/2025,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,VODAFONE LIMITED,1042130273,"£1,492,253.09"
21/11/2025,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,1042142751,"£1,323,000.00"
06/11/2025,DIG TEXT MESSAGING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DEPARTMENT FOR SCIENCE INNOVATION AND TECHNOLOGY,1042132667,"£1,317,199.26"
03/11/2025,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,1042130132,"£1,313,100.00"
27/11/2025,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S FACILITIES MANAGEMENT (UK) LTD,1042146760,"£1,273,795.57"
28/11/2025,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,1042147539,"£1,089,504.00"
28/11/2025,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,1042147537,"£1,052,100.00"
07/11/2025,CT ESTATES FIRE SAFETY IMPROVEMENTS DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM &BLDNG MNGMT - FM PROJECTS NON CAPITAL,MITIE FM LTD,1042133733,"£1,039,717.20"
28/11/2025,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,1042147796,"£1,000,796.17"
28/11/2025,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,1042147541,"£976,500.00"
14/11/2025,SE SPD BULK MAIL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,1042138147,"£967,889.38"
18/11/2025,DIG THE GARAGE DELIVERY SQUADS DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,1042139815,"£932,170.20"
11/11/2025,DIG SECURITY OUTCOME BASED SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,1042135080,"£855,759.77"
21/11/2025,DIG WIFI UPGRADES DELP,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,SOFTCAT PLC,1042142751,"£832,301.94"
03/11/2025,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,1042130131,"£775,800.00"
05/11/2025,FG CMPD FAS LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - DELIVERY PARTNER,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,1042131537,"£723,701.85"
05/11/2025,FG CMPD FAS CAPITA IT CONTINGENCY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPITA BUSINESS SERVICES LTD,1042132016,"£693,519.00"
10/11/2025,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,1042134180,"£660,661.11"
10/11/2025,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,1042134182,"£660,279.44"
10/11/2025,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,1042134427,"£656,965.82"
07/11/2025,CT ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,1042133733,"£638,246.83"
28/11/2025,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,1042147191,"£594,049.20"
11/11/2025,CT ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,ISS MEDICLEAN LTD - 2WM,1042135526,"£555,319.99"
10/11/2025,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,1042134182,"£503,865.14"
07/11/2025,CT ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,1042133733,"£484,973.08"
25/11/2025,DIG STRATEGIC MODERN ANALYTICAL TOOLING,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SAS SOFTWARE LTD,1042144651,"£434,764.80"
06/11/2025,DIG LEGACY - DATA WAREHOUSE CLOUD MIGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,1042132362,"£420,597.60"
06/11/2025,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,1042132901,"£416,420.17"
04/11/2025,FG CMPD FAS LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - DELIVERY PARTNER,CAPITA BUSINESS SERVICES LTD,1042130936,"£393,191.00"
25/11/2025,DIG STRATEGIC MODERN ANALYTICAL TOOLING,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SAS SOFTWARE LTD,1042144651,"£363,858.00"
11/11/2025,CT ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,ISS MEDICLEAN LTD - 2WM,1042135526,"£307,864.98"
