test,classification,why,reached_cage,backend,date,party,total_paise,tax_paise,net_paise,line_items,party_known,period_open,carries_gst,lines_sum_to_total,net_plus_tax_equals_gross,debits_equal_credits,cage_reasons
tests/test_action_log.py::test_a_posted_entry_records_its_outcome_and_its_reason,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_action_log.py::test_the_log_survives_a_restart,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adapter_contract.py::test_two_backends_given_the_same_facts_either_post_or_ask_who_it_was[stub_backend],B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adapter_contract.py::test_only_a_believed_backend_posts_and_the_other_writes_nothing[stub_backend],B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adapter_contract.py::test_only_a_believed_backend_moves_the_trial_balance,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,stub,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adapter_contract.py::test_the_core_takes_only_the_contract_from_the_extraction_package,D_TEST_INVALID_OR_INCOMPLETE,the test failed without ever reaching the cage - it is not a cage question,no,,,,,,,,,None,,,,,
tests/test_adapter_contract.py::test_a_connector_refusal_cannot_happen_after_the_application_said_valid,C_REQUIREMENT_CHANGED,GST posting is switched off by owner decision; the test predates it,yes,typed_text,,Sharma Traders,420000,64068,,0,False,None,True,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | This bill includes GST. GST posting is switched off, so this cannot be posted automatically. Please enter this one in Tally yourself. That is the ₹4,200.00 bill from Sharma Traders. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_amounts_and_states.py::test_a_sub_paise_amount_is_truncated_by_the_reader_and_refused_by_the_wire,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,,,,0,False,None,False,INDETERMINATE,INDETERMINATE,INDETERMINATE,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | Nobody said which amount the checks on this bill were run on, so I cannot tell that the amount that was checked is the amount that would go into your books, and nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the bill from Sharma Traders."
tests/test_adversarial_amounts_and_states.py::test_a_disconnected_app_refuses_to_post_and_says_which_refusal_it_is,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
tests/test_adversarial_amounts_and_states.py::test_a_bootstrap_that_failed_part_way_through_posts_nothing,B_CAGE_FALSE_BLOCK,"blocked on period_open=None which pipeline.run hardcodes though period.py can read it, AND on a party with history that is not in the chart of accounts, AND on laws a typed sentence cannot satisfy",yes,typed_text,,Sharma Traders,420000,,,0,False,None,False,INDETERMINATE,INDETERMINATE,PASS,"There is something on this bill I could not check at all. Not checked is not the same as checked and fine, so nothing was posted. | I could not tell whether the books for this date are still open, so nothing was posted. | I have never seen Sharma Traders in your books. I will never add a new name to your books on my own, so this one is saved for you to finish. | I am less than 70 out of 100 sure about what this bill says. That is too little to even ask about, so this one is saved for you to finish. That is the ₹4,200.00 bill from Sharma Traders."
